wether vary support - tightest statement:
45253 0.1 (30.230000000000018, 48.970000000000027) 18.74 9.0039999485
45253 0.2 (27.130499999999984, 48.970000000000027) 21.8395 7.35599994659
45253 0.3 (24.95999999999998, 48.970000000000027) 24.01 5.92000007629
45253 0.4 (23.100000000000023, 48.970000000000027) 25.87 5.77999997139
45253 0.5 (21.370000000000005, 48.970000000000027) 27.6 5.43300008774
45253 0.6 (19.675000000000011, 48.970000000000027) 29.295 5.21500015259
45253 0.7 (17.870000000000005, 48.970000000000027) 31.1 4.99799990654
45253 0.8 (15.770000000000039, 48.970000000000027) 33.2 4.83399987221
45253 0.9 (12.858000000000004, 48.970000000000027) 36.112 4.56200003624
--------------------------
