ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DelayInv_norm,taxioutInv_norm,taxiinInv_norm,arrdelayInv_norm,CRS_ELAPSED_TIME_Norm,CRS_ELAPSED_TIME_INV_Norm,ACTUAL_ELAPSED_TIME_Norm,ACTUAL_ELAPSED_TIME_INV_Norm,AIR_TIME_Inv_Norm,AIR_TIME_Norm,Dist_Norm,Dist_Inv_Norm,Rand#
11292,14893,47,14,6,38,160,151,131,909,0.978713768,0.921348315,0.985507246,0.982640475,0.225988701,0.774011299,0.207988981,0.792011019,0.810966811,0.189033189,0.182420229,0.817579771,0.362515839
10821,14107,-6,14,7,-18,324,312,291,1999,1.002717391,0.921348315,0.983091787,1.008222933,0.457627119,0.542372881,0.429752066,0.570247934,0.58008658,0.41991342,0.401163957,0.598836043,0.302766637
14122,12889,-5,19,4,15,295,315,292,1910,1.002264493,0.893258427,0.990338164,0.993147556,0.416666667,0.583333333,0.433884298,0.566115702,0.578643579,0.421356421,0.383303231,0.616696769,0.254599054
12954,12889,-5,10,4,-9,65,61,47,231,1.002264493,0.943820225,0.990338164,1.004111466,0.09180791,0.90819209,0.084022039,0.915977961,0.932178932,0.067821068,0.046357616,0.953642384,0.795408361
12953,11298,0,17,12,-33,254,221,192,1389,1,0.904494382,0.971014493,1.015075377,0.358757062,0.641242938,0.304407713,0.695592287,0.722943723,0.277056277,0.278747742,0.721252258,0.35544816
10721,14100,-4,17,7,-6,95,93,69,280,1.001811594,0.904494382,0.983091787,1.002740978,0.134180791,0.865819209,0.128099174,0.871900826,0.9004329,0.0995671,0.05619105,0.94380895,0.917288027
11057,11259,4,7,8,-23,180,153,138,926,0.998188406,0.960674157,0.980676329,1.010507081,0.254237288,0.745762712,0.210743802,0.789256198,0.800865801,0.199134199,0.185831828,0.814168172,0.258969726
15370,14869,-5,13,7,-37,175,143,123,926,1.002264493,0.926966292,0.983091787,1.016902695,0.247175141,0.752824859,0.196969697,0.803030303,0.822510823,0.177489177,0.185831828,0.814168172,0.510536826
13204,10397,-1,15,12,-7,97,91,64,404,1.000452899,0.915730337,0.971014493,1.003197807,0.13700565,0.86299435,0.125344353,0.874655647,0.907647908,0.092352092,0.081075657,0.918924343,0.652501633
11996,13930,-4,27,5,4,122,130,98,577,1.001811594,0.848314607,0.987922705,0.998172682,0.172316384,0.827683616,0.179063361,0.820936639,0.858585859,0.141414141,0.115793699,0.884206301,0.830173563
11292,12339,-4,7,2,-28,140,116,107,977,1.001811594,0.960674157,0.995169082,1.012791229,0.197740113,0.802259887,0.159779614,0.840220386,0.845598846,0.154401154,0.196066627,0.803933373,0.783390786
14831,11298,-2,13,8,-26,207,183,162,1438,1.000905797,0.926966292,0.980676329,1.01187757,0.292372881,0.707627119,0.252066116,0.747933884,0.766233766,0.233766234,0.288581176,0.711418824,0.926163832
14869,14831,0,67,3,20,131,151,81,584,1,0.623595506,0.992753623,0.990863408,0.185028249,0.814971751,0.207988981,0.792011019,0.883116883,0.116883117,0.117198475,0.882801525,0.830421822
14570,14747,-10,11,12,-36,141,115,92,564,1.004528986,0.938202247,0.971014493,1.016445866,0.199152542,0.800847458,0.158402204,0.841597796,0.867243867,0.132756133,0.113184828,0.886815172,0.2442682
14679,14747,-11,16,8,-29,187,169,145,1050,1.004981884,0.91011236,0.980676329,1.013248058,0.264124294,0.735875706,0.232782369,0.767217631,0.790764791,0.209235209,0.210716436,0.789283564,0.188341089
11292,14831,-3,27,3,-14,165,154,124,948,1.001358696,0.848314607,0.992753623,1.006395614,0.233050847,0.766949153,0.212121212,0.787878788,0.821067821,0.178932179,0.190246839,0.809753161,0.336189637
11278,14027,7,24,5,-6,159,146,117,857,0.99682971,0.865168539,0.987922705,1.002740978,0.224576271,0.775423729,0.201101928,0.798898072,0.831168831,0.168831169,0.171984748,0.828015252,0.297532864
11298,11193,5,16,32,28,130,153,105,812,0.997735507,0.91011236,0.922705314,0.987208771,0.183615819,0.816384181,0.210743802,0.789256198,0.848484848,0.151515152,0.162954044,0.837045956,0.777985513
12892,13930,4,17,24,17,247,260,219,1744,0.998188406,0.904494382,0.942028986,0.992233897,0.348870056,0.651129944,0.358126722,0.641873278,0.683982684,0.316017316,0.349989966,0.650010034,0.059260343
12953,11697,-2,21,16,-22,212,192,155,1076,1.000905797,0.882022472,0.961352657,1.010050251,0.299435028,0.700564972,0.26446281,0.73553719,0.776334776,0.223665224,0.215934176,0.784065824,0.357799252
14100,13303,2,16,6,9,174,181,159,1013,0.999094203,0.91011236,0.985507246,0.995888534,0.245762712,0.754237288,0.249311295,0.750688705,0.770562771,0.229437229,0.20329119,0.79670881,0.287689543
10821,15016,-5,10,3,-20,145,130,117,738,1.002264493,0.943820225,0.992753623,1.009136592,0.20480226,0.79519774,0.179063361,0.820936639,0.831168831,0.168831169,0.148103552,0.851896448,0.602127623
14771,14893,-6,17,5,-18,54,42,20,86,1.002717391,0.904494382,0.987922705,1.008222933,0.076271186,0.923728814,0.05785124,0.94214876,0.971139971,0.028860029,0.01725868,0.98274132,0.489007132
10397,10821,-4,18,5,-10,103,97,74,577,1.001811594,0.898876404,0.987922705,1.004568296,0.145480226,0.854519774,0.133608815,0.866391185,0.893217893,0.106782107,0.115793699,0.884206301,0.643863908
13931,12953,-1,42,6,19,102,122,74,296,1.000452899,0.764044944,0.985507246,0.991320238,0.144067797,0.855932203,0.168044077,0.831955923,0.893217893,0.106782107,0.059401967,0.940598033,0.468711441
10397,10781,16,14,3,2,105,91,74,448,0.992753623,0.921348315,0.992753623,0.999086341,0.148305085,0.851694915,0.125344353,0.874655647,0.893217893,0.106782107,0.089905679,0.910094321,0.352523651
14869,12266,0,30,5,1,187,188,153,1195,1,0.831460674,0.987922705,0.99954317,0.264124294,0.735875706,0.258953168,0.741046832,0.779220779,0.220779221,0.239815372,0.760184628,0.653235655
14635,10397,-6,19,11,-10,117,113,83,515,1.002717391,0.893258427,0.973429952,1.004568296,0.165254237,0.834745763,0.155647383,0.844352617,0.88023088,0.11976912,0.103351395,0.896648605,0.656049763
11259,13198,14,12,4,7,90,83,67,460,0.99365942,0.93258427,0.990338164,0.996802193,0.127118644,0.872881356,0.114325069,0.885674931,0.903318903,0.096681097,0.092313867,0.907686133,0.643847005
11292,14908,12,16,4,-1,145,132,112,846,0.994565217,0.91011236,0.990338164,1.00045683,0.20480226,0.79519774,0.181818182,0.818181818,0.838383838,0.161616162,0.169777243,0.830222757,0.338914123
10423,12892,88,13,7,68,211,191,171,1242,0.960144928,0.926966292,0.983091787,0.968935587,0.298022599,0.701977401,0.263085399,0.736914601,0.753246753,0.246753247,0.249247441,0.750752559,0.845508139
14307,10397,-3,14,6,-19,183,167,147,903,1.001358696,0.921348315,0.985507246,1.008679762,0.258474576,0.741525424,0.230027548,0.769972452,0.787878788,0.212121212,0.181216135,0.818783865,0.065257762
14100,14307,-10,32,4,-3,73,80,44,237,1.004528986,0.820224719,0.990338164,1.001370489,0.103107345,0.896892655,0.110192837,0.889807163,0.936507937,0.063492063,0.04756171,0.95243829,0.506287561
13930,11278,-4,19,4,-13,111,102,79,612,1.001811594,0.893258427,0.990338164,1.005938785,0.156779661,0.843220339,0.140495868,0.859504132,0.886002886,0.113997114,0.12281758,0.87718242,0.901968157
11193,10721,-4,8,4,-28,136,112,100,752,1.001811594,0.95505618,0.990338164,1.012791229,0.192090395,0.807909605,0.154269972,0.845730028,0.855699856,0.144300144,0.150913105,0.849086895,0.031321473
12889,13796,-4,13,4,-14,90,80,63,407,1.001811594,0.926966292,0.990338164,1.006395614,0.127118644,0.872881356,0.110192837,0.889807163,0.909090909,0.090909091,0.081677704,0.918322296,0.16695659
15016,14492,7,11,2,-1,105,97,84,667,0.99682971,0.938202247,0.995169082,1.00045683,0.148305085,0.851694915,0.133608815,0.866391185,0.878787879,0.121212121,0.133855107,0.866144893,0.788023383
13930,12264,-2,8,6,-23,111,90,76,588,1.000905797,0.95505618,0.985507246,1.010507081,0.156779661,0.843220339,0.123966942,0.876033058,0.89033189,0.10966811,0.118001204,0.881998796,0.444491032
