Rank,Wine,Vintage,Score,Price,year_inv,s_norm,p_norm_inv,year_norm_inv,s+p,s+y,
71,Donnachiara Aglianico Irpinia ,2015,90,18,1,0.9,0.890909091,0.000496032,1.790909091,0.900496032,
84,Simone Santini Vernaccia di San Gimignano Tenuta Le Calcinaie ,2015,90,18,1,0.9,0.890909091,0.000496032,1.790909091,0.900496032,
45,Kaiken Malbec Mendoza Ultra Las Rocas ,2015,90,20,1,0.9,0.878787879,0.000496032,1.778787879,0.900496032,
48,Penley Cabernet Sauvignon Coonawarra Phoenix ,2015,90,20,1,0.9,0.878787879,0.000496032,1.778787879,0.900496032,
72,Domaine Petroni Corse ,2015,90,20,1,0.9,0.878787879,0.000496032,1.778787879,0.900496032,
82,Pali Wine Co. Pinot Noir Sonoma Coast Riviera ,2015,90,22,1,0.9,0.866666667,0.000496032,1.766666667,0.900496032,
77,Oberon Merlot Napa Valley ,2015,90,23,1,0.9,0.860606061,0.000496032,1.760606061,0.900496032,
59,Bodegas Emilio Moro Tempranillo Ribera del Duero ,2015,90,24,1,0.9,0.854545455,0.000496032,1.754545455,0.900496032,
60,Casa Santos Lima Lisboa Colossal Reserva ,2015,90,25,1,0.9,0.848484848,0.000496032,1.748484848,0.900496032,
80,Michele Castellani Valpolicella Classico Superiore San Michele Ripasso ,2015,90,28,1,0.9,0.83030303,0.000496032,1.73030303,0.900496032,
40,Matua Sauvignon Blanc Marlborough ,2016,90,12,0,0.9,0.927272727,0,1.827272727,0.9,
57,Mason Sauvignon Blanc Napa Valley Yount Mill Vineyard ,2016,90,19,0,0.9,0.884848485,0,1.784848485,0.9,
54,Innocent Bystander Pinot Noir Yarra Valley ,2016,90,20,0,0.9,0.878787879,0,1.778787879,0.9,
69,Gini Soave Classico ,2016,90,21,0,0.9,0.872727273,0,1.772727273,0.9,
94,di Meo Greco di Tufo G ,2016,90,27,0,0.9,0.836363636,0,1.736363636,0.9,
